variable,type,definition,role_in_analysis,notes
pass_length_calc,numeric,Euclidean pass length calculated from start and end coordinates.,Core pass-geometry feature for xPass and turnover proxy estimation.,May differ slightly from provider-supplied pass_length if coordinate parsing or orientation differs.
abs_angle,numeric,"Absolute pass angle, usually calculated from the arctangent of vertical and horizontal displacement.",Used to represent pass direction difficulty and turnover-location uncertainty.,Should be consistently calculated after coordinate orientation.
underP,binary,Indicator of whether the passer was under defensive pressure at the time of the pass.,"Used in xPass prediction, stratified analysis, and turnover proxy estimation.",Derived from the under_pressure field when available.
len_cos,numeric,"Forward component of pass displacement or pass length multiplied by cosine of pass angle, depending on script context.",Used as a compact directional feature in xPass and continuation-value modeling.,Positive values generally indicate forward progression when coordinates are oriented left to right.
is_first_half,binary,Indicator for whether the event occurred before minute 45.,Temporal feature used to capture coarse match-period differences.,Can be replaced by more detailed time-period indicators if needed.
xpass_prob,numeric,Estimated probability that the pass will be completed given its context.,Defines pass success probability and is used to compute risk and expected reward.,"For the analytical sample, this should preferably be an out-of-fold prediction grouped by match."
xpass_pred_oof,numeric,Out-of-fold xPass probability predicted for events held out at match level.,Recommended probability input for risk-reward calculation and passer residual estimation.,Prevents the downstream framework from relying on in-sample predictions.
xpass_pred_calib,numeric,Calibrated xPass probability from the final fitted xPass model.,Useful for model deployment or prediction on future data.,"If computed on the same training sample, it should not replace OOF xPass for residual-based analyses."
risk,numeric,"Failure probability of the pass, calculated as 1 minus xpass_prob.",Main risk dimension in the risk-reward framework.,Values are usually clipped away from exactly 0 and 1 for numerical stability.
EPV_start,numeric,Spatial value of the pass start location based on the EPV-like spatial value proxy.,Used to calculate direct spatial progression gain.,"This is a location-based proxy, not a full tracking-data EPV model."
EPV_end,numeric,Spatial value of the pass end location based on the EPV-like spatial value proxy.,Used to calculate direct spatial progression gain.,The difference EPV_end minus EPV_start represents immediate spatial gain.
EPV_opp_start,numeric,Opponent-oriented spatial value at the mirrored pass start location.,Auxiliary component of failure-cost estimation.,Used to stabilize the cost estimate rather than treating the turnover point as the only consequence.
EPV_opp_end,numeric,Opponent-oriented spatial value at the mirrored pass end location.,Auxiliary component of failure-cost estimation.,Represents the potential danger if possession is lost close to the intended destination.
cv_obs,numeric,"Observed continuation-value label for successful passes, computed from short-horizon future value changes within the same possession.",Training target for receiver continuation-value modeling.,Defined only for successful passes to avoid mixing possession termination with post-success continuation quality.
receiver_CV_cond,numeric,Predicted continuation value conditional on pass completion.,Included in GainOnSuccess as a short-horizon contribution beyond immediate spatial gain.,Estimated from within-possession event sequences and treated as conditional on success.
passer_marginal,numeric,Shrunken player-level residual contribution based on success minus xPass probability.,Modest adjustment term for individual passer ability in GainOnSuccess.,Should be estimated out of fold and shrunk toward zero to reduce in-sample and low-volume bias.
turnover_x_ratio,numeric,Estimated normalized x-coordinate of the proxy turnover point along the pass trajectory.,Used to calculate the main opponent spatial value component of CostOnFailure.,This is a heuristic proxy because event data usually do not contain the exact interception point.
turnover_y_ratio,numeric,Estimated normalized y-coordinate of the proxy turnover point along the pass trajectory.,Used to calculate the main opponent spatial value component of CostOnFailure.,Should be interpreted as a proxy rather than an observed defensive action location.
EPV_opp_turnover,numeric,Opponent-oriented spatial value at the estimated turnover proxy point.,Primary component of CostOnFailure.,Given greater weight than start and end opponent values in the baseline specification.
GainOnSuccess,numeric,"Conditional gain if the pass is completed, combining immediate spatial gain, receiver continuation value, and passer marginal contribution.",Reward component of the expected reward equation.,Baseline form: direct spatial gain + lambda_cv × receiver_CV_cond + passer_weight × passer_marginal.
CostOnFailure,numeric,"Estimated spatial cost if the pass fails, based primarily on the opponent value at the turnover proxy point.",Failure-cost component of the expected reward equation.,Baseline form: 0.70 × EPV_opp_turnover + 0.15 × EPV_opp_start + 0.15 × EPV_opp_end.
expected_reward,numeric,Ex ante expected net reward of the pass.,Main outcome variable of the risk-reward framework.,Baseline form: xpass_prob × GainOnSuccess - (1 - xpass_prob) × CostOnFailure.
net_risk_reward_ratio,numeric,Expected reward divided by risk.,Auxiliary ratio used to describe reward efficiency relative to failure exposure.,Should be interpreted cautiously for very low-risk passes because the denominator is small.
